,ID,Status,Latitude,Longitude,Max_Speed,Min_Pressure,Low_Rad_NE,Low_Rad_SE,Low_Rad_SW,Low_Rad_NW,Med_Rad_NE,Med_Rad_SE,Med_Rad_SW,Med_Rad_NW,High_Rad_NE,High_Rad_SE,High_Rad_SW,High_Rad_NW,Time,x,y,Season,Zones
66,AL031970, TD,34.5,-71.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-29 12:00:00,-7959343.591719061,4096139.0404472323,Summer,Atlantic
67,AL031970, TD,33.9,-69.2,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-29 18:00:00,-7703308.762894532,4015382.36007316,Summer,Atlantic
68,AL031970, TD,33.2,-67.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-30 00:00:00,-7458405.88314933,3921880.8067032457,Summer,Atlantic
69,AL031970, TD,32.6,-64.7,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-30 06:00:00,-7202371.054324801,3842330.217266117,Summer,Atlantic
70,AL031970, TD,32.0,-62.5,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-30 12:00:00,-6957468.174579599,3763310.6271446524,Summer,Atlantic
71,AL031970, TD,32.7,-61.3,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-30 18:00:00,-6823884.785627671,3855551.3465079414,Summer,Atlantic
72,AL031970, TD,33.5,-60.2,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-31 00:00:00,-6701433.3457550695,3961860.2174457465,Summer,Atlantic
73,AL031970, TD,34.2,-59.1,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-31 06:00:00,-6578981.905882468,4055688.8590062363,Summer,Atlantic
74,AL031970, TD,35.0,-58.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-31 12:00:00,-6456530.466009867,4163881.1440642904,Summer,Atlantic
75,AL031970, TD,36.2,-57.7,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-31 18:00:00,-6423134.6187718855,4328176.075298277,Summer,Atlantic
76,AL031970, TD,37.5,-57.3,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-01 00:00:00,-6378606.822454575,4509031.393076654,Summer,Atlantic
77,AL031970, TD,38.9,-56.9,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-01 06:00:00,-6334079.026137266,4707357.536267922,Summer,Atlantic
78,AL031970, TD,40.0,-56.5,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-01 12:00:00,-6289551.229819957,4865942.279503176,Summer,Atlantic
79,AL031970, TD,42.0,-56.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-01 18:00:00,-6233891.484423321,5160979.444049783,Summer,Atlantic
80,AL041970, TD,18.5,-82.5,25.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-31 00:00:00,-9183857.99044507,2096156.5384662852,Summer,Mexico_Caribbean
81,AL041970, TD,19.5,-82.9,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-31 06:00:00,-9228385.786762381,2213892.1828597244,Summer,Mexico_Caribbean
82,AL041970, TD,20.3,-83.2,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-31 12:00:00,-9261781.634000363,2308604.115398843,Summer,Mexico_Caribbean
83,AL041970, TD,21.1,-83.8,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-31 18:00:00,-9328573.328476327,2403806.521646825,Summer,Mexico_Caribbean
84,AL041970, TD,21.9,-84.3,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-01 00:00:00,-9384233.073872963,2499523.266067402,Summer,Mexico_Caribbean
85,AL041970, TD,22.7,-85.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-01 06:00:00,-9462156.717428254,2595778.804307132,Summer,Mexico_Caribbean
86,AL041970, TS,23.3,-85.8,45.0,993.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-01 12:00:00,-9551212.310062872,2668339.105750191,Summer,Mexico_Caribbean
87,AL041970, TS,23.9,-86.5,60.0,990.0,,,,,,,,,0.0,0.0,0.0,0.0,1970-08-01 18:00:00,-9629135.953618165,2741227.39989258,Summer,Mexico_Caribbean
88,AL041970, HU,24.3,-87.2,100.0,965.0,,,,,,,,,,,,,1970-08-02 00:00:00,-9707059.597173456,2790007.2594144815,Summer,Mexico_Caribbean
89,AL041970, HU,24.9,-88.3,90.0,975.0,,,,,,,,,,,,,1970-08-02 06:00:00,-9829511.037046056,2863466.8668238777,Summer,Mexico_Caribbean
90,AL041970, HU,25.3,-89.6,85.0,986.0,,,,,,,,,,,,,1970-08-02 12:00:00,-9974226.375077313,2912638.0910063866,Summer,Mexico_Caribbean
91,AL041970, HU,25.8,-90.8,85.0,984.0,,,,,,,,,,,,,1970-08-02 18:00:00,-10107809.76402924,2974331.0993660805,Summer,Mexico_Caribbean
92,AL041970, HU,26.2,-92.0,80.0,,,,,,,,,,,,,,1970-08-03 00:00:00,-10241393.15298117,3023872.9604291576,Summer,Mexico_Caribbean
93,AL041970, HU,26.6,-93.5,75.0,988.0,,,,,,,,,,,,,1970-08-03 06:00:00,-10408372.38917108,3073585.3046073965,Summer,Mexico_Caribbean
94,AL041970, HU,27.0,-94.9,90.0,971.0,,,,,,,,,,,,,1970-08-03 12:00:00,-10564219.676281663,3123471.749104576,Summer,Mexico_Caribbean
95,AL041970, HU,27.5,-96.3,110.0,945.0,,,,,,,,,,,,,1970-08-03 18:00:00,-10720066.963392245,3186080.233365009,Summer,Mexico_Caribbean
96,AL041970, HU,28.1,-97.8,70.0,950.0,,,,,,,,,,,,,1970-08-04 00:00:00,-10887046.199582156,3261587.3618431184,Summer,Mexico_Caribbean
