,ID,Latitude_start,Longitude_start,Season_start,Zones_start,x_start,y_start,Year_start,Month_start,Latitude_end,Longitude_end,Season_end,Zones_end,x_end,y_end,Year_end,Month_end,Duration,Distance,Distance_draw
87,AL111974,10.0,-19.0,Autumn,Atlantic,-2115070.325072198,1118889.9748579594,1974,9,21.0,-73.0,Autumn,Atlantic,-8126322.827908971,2391878.587944315,1974,9,9.0 days,6112.665572220189,256731.95403324792
88,AL121974,27.2,-67.9,Autumn,Atlantic,-7558593.424863278,3148481.4043987663,1974,9,44.2,-60.3,Autumn,Atlantic,-6712565.294834398,5496444.989877837,1974,9,2.75 days,2777.15799323424,116640.63571583809
89,AL131974,14.7,-50.5,Autumn,Atlantic,-5621634.285060315,1654650.287315491,1974,9,42.0,-48.0,Autumn,Atlantic,-5343335.558077132,5160979.444049783,1974,9,9.25 days,6126.42183775212,257309.71718558905
90,AL141974,15.3,-65.0,Autumn,Mexico_Caribbean,-7235766.901562783,1723798.498982408,1974,9,17.7,-104.3,Autumn,Mexico_Caribbean,-11610622.889738435,2002463.7486873388,1974,9,8.0 days,4373.934763407513,183705.26006311554
91,AL151974,28.0,-58.0,Autumn,Atlantic,-6456530.466009867,3248973.7896509725,1974,9,34.0,-63.5,Autumn,Atlantic,-7068787.665372873,4028802.026134408,1974,9,2.25 days,962.6286716978209,40430.40421130848
92,AL161974,18.0,-84.0,Autumn,Mexico_Caribbean,-9350837.22663498,2037548.5447506013,1974,9,29.0,-83.0,Autumn,Mexico_Caribbean,-9239517.735841706,3375646.03491931,1974,9,4.0 days,1820.305824724811,76452.84463844205
93,AL171974,10.7,-45.1,Autumn,Atlantic,-5020509.034776638,1198103.0405602609,1974,9,13.0,-67.0,Autumn,Mexico_Caribbean,-7458405.88314933,1459732.2718804963,1974,10,6.5 days,2562.2573997252716,107614.81078846141
94,AL181974,21.0,-75.2,Autumn,Atlantic,-8371225.707654173,2391878.587944315,1974,10,37.0,-63.0,Autumn,Atlantic,-7013127.919976235,4439106.787250586,1974,10,5.0 days,3126.7895825953347,131325.16246900405
95,AL191974,23.5,-59.5,Autumn,Atlantic,-6623509.702199778,2692598.2193217874,1974,10,34.0,-48.0,Autumn,Atlantic,-5343335.558077132,4028802.026134408,1974,11,3.0 days,1805.1913286492536,75818.03580326865
96,AL201974,21.0,-69.0,Autumn,Atlantic,-7681044.864735877,2391878.587944315,1974,11,24.0,-70.0,Autumn,Atlantic,-7792364.355529151,2753408.109364979,1974,11,2.0 days,354.48539036490774,14888.386395326124
97,AL011975,32.5,-52.0,Summer,Atlantic,-5788613.5212502275,3829123.837028437,1975,6,40.0,-57.0,Summer,Atlantic,-6345210.975216595,4865942.279503176,1975,6,5.0 days,1852.3158765645487,77797.26681571105
98,AL021975,27.5,-79.0,Summer,Atlantic,-8794239.772668613,3186080.2333650086,1975,6,47.0,-48.0,Summer,Atlantic,-5343335.558077132,5942074.072431107,1975,7,7.5 days,4369.871202804329,183534.59051778182
99,AL031975,30.0,-73.0,Summer,Atlantic,-8126322.827908971,3503549.843504374,1975,7,34.5,-68.5,Summer,Atlantic,-7625385.119339243,4096139.040447232,1975,7,1.0 days,694.2142347070576,29156.99785769642
100,AL041975,26.0,-68.4,Summer,Atlantic,-7614253.1702599125,2999080.9434706424,1975,7,47.2,-62.4,Summer,Atlantic,-6946336.225500273,5974780.482145987,1975,7,4.75 days,3289.859167909954,138174.08505221808
101,AL051975,21.0,-92.5,Summer,Mexico_Caribbean,-10297052.898377806,2391878.587944315,1975,7,21.7,-98.5,Summer,Mexico_Caribbean,-10964969.843137447,2475544.533776697,1975,7,1.5 days,671.1614722787376,28188.78183570698
102,AL061975,29.0,-86.0,Summer,Mexico_Caribbean,-9573476.208221527,3375646.03491931,1975,7,31.0,-91.0,Summer,Mexico_Caribbean,-10130073.662187897,3632749.143384427,1975,7,2.0 days,600.600084614245,25225.203553798292
103,AL071975,22.4,-69.8,Summer,Atlantic,-7770100.457370495,2559618.259501404,1975,8,25.3,-99.0,Autumn,Mexico_Caribbean,-11020629.588534083,2912638.091006386,1975,9,8.0 days,3342.380854383652,140379.9958841134
104,AL081975,33.3,-46.3,Summer,Atlantic,-5154092.423728567,3935191.9821054395,1975,8,43.5,-40.7,Autumn,Atlantic,-4530703.275286235,5388389.272819325,1975,9,7.0 days,2068.9757710992158,86896.98238616706
105,AL091975,13.5,-24.0,Autumn,Atlantic,-2671667.779038566,1516914.4453372369,1975,9,15.5,-58.0,Autumn,Atlantic,-6456530.466009867,1746891.5570753578,1975,9,5.75 days,3807.3294437994246,159907.83663957583
106,AL101975,11.5,-17.5,Autumn,Atlantic,-1948091.0888822882,1288857.180495907,1975,9,12.5,-28.0,Autumn,Atlantic,-3116945.7422116613,1402665.189967927,1975,9,3.0 days,1170.8116418209506,49174.08895647993
107,AL111975,21.5,-95.0,Autumn,Mexico_Caribbean,-10575351.62536099,2451599.0873778537,1975,9,22.0,-98.0,Autumn,Mexico_Caribbean,-10909310.09774081,2511525.234845713,1975,9,1.25 days,333.1185693316998,13990.979911931392
108,AL121975,32.0,-62.0,Autumn,Atlantic,-6901808.4291829625,3763310.6271446524,1975,9,40.0,-54.0,Autumn,Atlantic,-6011252.502836772,4865942.279503176,1975,9,3.25 days,1886.3136435589952,79225.1730294778
109,AL131975,17.5,-54.1,Autumn,Atlantic,-6022384.4519161,1979106.499724387,1975,9,37.5,-81.5,Autumn,Atlantic,-9072538.499651797,4509031.393076654,1975,9,11.5 days,5928.744316474832,249007.26129194294
